OrderId,OrderItemId,ProductType,ProductItem,ProductPeriod,ProductDetails,ProductStorage
50054,10,FROZEN_ITEM,"Sherbet, sorbet",2-4 months,,FROZEN
50054,11,SHELF_ITEM,"Canned goods, high acid (such as juices, fruit, pickles, sauerkraut, tomato soup, and foods in vinegar-based sauce)",12-18 months,unopened,SHELF
50054,12,BAKING,"Frosting, canned",1 week,opened,REFRIGERATED
50054,13,PROCESSED_MEAT,"Ham, fully cooked, slices or half",1-2 months,,FROZEN
50054,14,SHELF_ITEM,"Tea, bags",12 months,opened,SHELF
50054,15,DIARY,"Eggnog, commercial",3-5 days,,REFRIGERATED
50055,1,SHELF_ITEM,"Gelatin, unflavored",3-4 months,opened,SHELF
50055,2,PROCESSED_POULTRY,Cooked poultry dishes,4-6 months,,FROZEN
50055,3,DIARY,Cream cheese,2 weeks,,REFRIGERATED
50055,4,BAKERY,"Bread, flat (tortillas, pita)",4-7 days,,REFRIGERATED
50055,5,FRUIT,Kiwi Fruit,Until ripe,,SHELF
50055,6,DOUGH,Cookie dough,2 months,,FROZEN
50055,7,SHELLFISH,"Cooked shellfish, all",3-4 days,,REFRIGERATED
50055,8,SHELF_ITEM,"Popcorn, dry kernels in jar",2 years,unopened,SHELF
50055,9,SHELF_ITEM,"Baby food, cereal, dry mixes",2 months,opened,SHELF
50055,10,SHELF_ITEM,"Herbs, dried",1-2 years,unopened,SHELF
50055,11,BAKERY,"Pies, fruit",1-2 days,,SHELF
50055,12,BAKING,"Frosting, canned",1 week,opened,REFRIGERATED
50055,13,DELI_ITEM,Olives,2 weeks,,REFRIGERATED
50056,1,FRUIT,Bananas,Until ripe,,SHELF
50056,2,FROZEN_ITEM,"Topping, whipped",2 weeks,,THAWED
50056,3,VEGETABLES,Okra,10-12 months,,FROZEN
50056,4,CONDIMENTS,"Salad Dressings, commercial, bottled",3 months,opened,REFRIGERATED
50056,5,VEGETABLES,"Artichokes, whole",,Do not freeze,FROZEN
50056,6,VEGETABLES,"Squash, summer",10-12 months,,FROZEN
50056,7,DELI_ITEM,"Fruit, cut",Package date,unopened,REFRIGERATED
50056,8,SHELF_ITEM,Molasses,12 months,unopened,SHELF
50056,9,SHELF_ITEM,"Sugar, sugar substitutes",2 years,,SHELF
50056,10,PROCESSED_MEAT,Bacon,1 month,,FROZEN
50056,11,SHELF_ITEM,"Coffee, whole beans",3-4 months,,FROZEN
50056,12,SHELF_ITEM,"Herbs, dried",1-2 years,unopened,SHELF
50056,13,FRUIT,Kiwi Fruit,,Do not freeze,FROZEN
50056,14,DIARY,"Eggs, hard cooked",1 week,,REFRIGERATED
50056,15,SHELF_ITEM,"Spices, ground",2-3 years,unopened,SHELF
50056,16,SHELF_ITEM,"Coffee, whole beans",1 week,opened,SHELF
50057,1,SHELF_ITEM,"Tomatoes, sun dried, packed in oil",3-6 months,opened,SHELF
50057,2,DELI_ITEM,"Main dishes or meals, hot or refrigerated",3-4 days,,REFRIGERATED
50057,3,BAKERY,Quiche,2 hours,,SHELF
50057,4,FRUIT,Citrus Fruit,10 days,,SHELF
50057,5,DIARY,Pudding,,Do not freeze,FROZEN
50057,6,PROCESSED_MEAT,"Lunch meats, sealed in package",1-2 months,,FROZEN
50057,7,VEGETABLES,Tomatoes,Until ripe,,SHELF
50057,8,CONDIMENTS,"Salsa, picante & taco sauces",1 month,opened,REFRIGERATED
50057,9,FRUIT,"Papaya, mango",,Do not freeze,FROZEN
50057,10,DIARY,"Aerosol can, nondairy topping",,Do not freeze,FROZEN
50057,11,FRUIT,Apples,8 months,Cooked,FROZEN
50057,12,FROZEN_ITEM,"Sherbet, sorbet",2-4 months,,FROZEN
50057,13,SHELF_ITEM,"Baby food, cereal, dry mixes",Use-by date,unopened,SHELF
50057,14,DIARY,Margarine,12 months,,FROZEN
50057,15,DELI_ITEM,Pate,1-2 months,,FROZEN
50058,1,SHELF_ITEM,Commercially popped in bags,1-2 weeks,opened,SHELF
50058,2,FRUIT,Melons,1 month,Balls,FROZEN
50058,3,BAKING,"Chocolate, unsweetened and semi-sweet, solid",1 year,opened,SHELF
50058,4,BAKERY,"Bread, flat (tortillas, pita)",2-4 days,,SHELF
50058,5,CONDIMENTS,Mustard,1 month,opened,SHELF
50058,6,FRUIT,Apples,8 months,Cooked,FROZEN
50058,7,SHELF_ITEM,"Coffee, non-vacuum bag ground, in cans",2 weeks,opened,REFRIGERATED
50058,8,SHELF_ITEM,"Coffee, non-vacuum bag ground, in cans",3-4 months,,FROZEN
50058,9,DIARY,Pudding,2 days,opened,REFRIGERATED
50058,10,DIARY,Cream cheese,,Do not freeze,FROZEN
50058,11,BAKING,Cornstarch,18 months,unopened,SHELF
50058,12,FROZEN_ITEM,"Fish, raw",1-2 days,,THAWED
50059,1,DELI_ITEM,Pudding,,Do not freeze,FROZEN
50059,2,FRESH_MEAT,"Variety meats (liver, tongue, chitterlings, etc.)",3-4 months,,FROZEN
50059,3,SHELF_ITEM,Potato chips,1-2 weeks,opened,SHELF
50059,4,SHELF_ITEM,"Syrup, pancake",12 months,unopened,SHELF
50059,5,SHELF_ITEM,"Peas, dried split",12 months,unopened,SHELF
50059,6,DELI_ITEM,Olives,2 weeks,,REFRIGERATED
50059,7,FROZEN_ITEM,"Shrimp, shellfish",12 months,,FROZEN
50059,8,BAKERY,"Doughnuts, glazed or cake",1 month,,FROZEN
50059,9,DIARY,"Cottage cheese, ricotta",1 week,,REFRIGERATED
50059,10,CONDIMENTS,Pickles,12 months,unopened,SHELF
50059,11,PROCESSED_POULTRY,Fried chicken,3-4 days,,REFRIGERATED
50059,12,CONDIMENTS,Pickles,12 months,unopened,SHELF
50059,13,SHELF_ITEM,"Sugar, brown",4 months,,SHELF
50060,1,BAKERY,"Bread, commercial*",2-4 days,,SHELF
50060,2,SHELLFISH,"Shucked clams, mussels and oysters",1-2 days,,REFRIGERATED
50060,3,BEVERAGES,"Juice in cartons, fruit drinks, punch",7-10 days,opened,REFRIGERATED
50060,4,COOKIES,"Cookies, packaged",4 weeks,opened,SHELF
50060,5,BAKING,Chocolate syrup,2 years,unopened,SHELF
50060,6,BAKERY,"Pies, fruit",1 week,,REFRIGERATED
50060,7,BAKERY,"Rolls, yeast, baked",3-4 days,,SHELF
50060,8,BAKERY,"Cakes, chocolate",4 months,,FROZEN
50060,9,SOY,Miso,3 months,,REFRIGERATED
50060,10,BAKING,"Frosting, Frosting mixes",3 months,opened,SHELF
50060,11,FRUIT,Citrus Fruit,,Do not freeze,FROZEN
50061,1,SHELF_ITEM,Pectin,1 month,opened,SHELF
50061,2,VEGETABLES,Rutabagas,2 weeks,,REFRIGERATED
50061,3,FRUIT,"Pears, Plums",3-5 days,,SHELF
50061,4,BAKERY,"Bread, flat (tortillas, pita)",2-4 days,,SHELF
50061,5,DELI_ITEM,"Salads containing meat, fish, poultry or eggs",3-4 days,,REFRIGERATED
50061,6,FISH,"Fatty fish (bluefish, mackerel, mullet, salmon, tuna, etc.)",1-2 days,,REFRIGERATED
50061,7,VEGETABLES,"Parsley, cilantro",1-2 months,,FROZEN
50061,8,SHELF_ITEM,"Rice, white or wild",1 year,opened,SHELF
50061,9,PROCESSED_POULTRY,"Lunch meats, sealed in package",2 weeks,,REFRIGERATED
50061,10,SHELF_ITEM,"Gravy, jars and cans",2-5 years,unopened,SHELF
50061,11,DIARY,"Eggs, raw whites, yolks*",2-4 days,,REFRIGERATED
50061,12,SMOKEDFISH,Herring,3-4 days,,REFRIGERATED
50061,13,BAKERY,"Pies, pecan",2 hours,,SHELF
50061,14,SHELF_ITEM,"Peas, dried split",12 months,unopened,SHELF
50061,15,VEGETABLES,Brussels sprouts,3-5 days,,REFRIGERATED
50061,16,BAKERY,"Bread, commercial*",3 months,,FROZEN
50061,17,BAKING,"Flour, white",6-12 months,unopened,SHELF
50062,1,BAKING,"Cake, Brownie, Bread Mixes",Pkg use-by date,opened,SHELF
50062,2,SHELF_ITEM,"Coffee, whole beans",2 weeks,opened,REFRIGERATED
50062,3,BAKERY,"Rolls, yeast, baked",1 week,,REFRIGERATED
50062,4,FISH,"Lean fish (pollock, ocean perch, rockfish, sea trout)",4 months,,FROZEN
50062,5,DIARY,"Cheese, hard (such as cheddar,  swiss, block parmesan)",6 months,,FROZEN
50062,6,BAKERY,"Cookies, bakery or homemade",2-3 weeks,,SHELF
50062,7,VEGETABLES,Spinach,1-2 days,,REFRIGERATED
50062,8,SMOKEDFISH,"Salmon, whitefish, hot smoked",14 days,,REFRIGERATED
50062,9,VEGETABLES,Garlic,1-2 weeks,,REFRIGERATED
50062,10,DELI_ITEM,Meats covered with gravy or broth,6 months,,FROZEN
50062,11,VEGETABLES,Ginger Root,1-2 days,,SHELF
50063,1,FROZEN_ITEM,"Shrimp, shellfish",12 months,,FROZEN
50063,2,VEGETABLES,"Squash, summer",10-12 months,,FROZEN
50063,3,SHELF_ITEM,"Soda such as carbonated cola drinks, mixers: regular sodas, bottles",3 mos. after date,unopened,SHELF
50063,4,FRESH_POULTRY,Giblets,3-4 months,,FROZEN
50063,5,BAKERY,"Croissants, butter",1 day,,SHELF
50063,6,VEGETABLES,"Squash, summer",10-12 months,,FROZEN
50063,7,SHELF_ITEM,Spaghetti sauce in jars,18 months,unopened,SHELF
50063,8,COOKIES,"Cookies, packaged",4 weeks,opened,SHELF
50063,9,DELI_ITEM,"Fruit, cut",Package date,unopened,REFRIGERATED
50063,10,DIARY,"Cream, half-and-half",3-4 days,,REFRIGERATED
50063,11,SHELF_ITEM,"Potatoes, instant",6-12 months,unopened,SHELF
50064,1,DIARY,Buttermilk,3 months,,FROZEN
50064,2,PROCESSED_POULTRY,Rotisserie chicken,4 months,,FROZEN
50064,3,VEGETABLES,"Lettuce, leaf",3-7 days,,REFRIGERATED
50064,4,PROCESSED_POULTRY,"Chicken nuggets, patties",1-2 days,,REFRIGERATED
50064,5,DELI_ITEM,"Fruit, cut",4 days,opened,REFRIGERATED
50064,6,CONDIMENTS,"Salsa, picante & taco sauces",12 months,unopened,SHELF
50064,7,BAKERY,"Pies, mincemeat",8 months,,FROZEN
50064,8,VEGETABLES,Brussels sprouts,3-5 days,,REFRIGERATED
50064,9,SOY,"Soy or rice beverage, soy beverage powders",3-4 months,opened,SHELF
50064,10,DIARY,"Cream, half-and-half",3-4 days,,REFRIGERATED
50064,11,SHELF_ITEM,"Beans, Dried",12 months,unopened,SHELF
50064,12,SHELF_ITEM,"Baby food, formula",1-2 days,opened,REFRIGERATED
50065,1,DIARY,Margarine,6 months,,REFRIGERATED
50065,2,SHELF_ITEM,"Soda such as carbonated cola drinks, mixers: regular sodas, bottles",3 mos. after date,unopened,SHELF
50065,3,BAKERY,"Rolls, filled, meat or vegetables",3-4 days,,REFRIGERATED
50065,4,VEGETABLES,Beets,7-10 days,,REFRIGERATED
50065,5,BAKERY,"Pies, pumpkin",1-2 months,,FROZEN
50065,6,SHELF_ITEM,"Oils, olive or vegetable",4 months,opened,REFRIGERATED
50065,7,VEGETABLES,Bok choy,10-12 months,,FROZEN
50065,8,FROZEN_ITEM,Lobster tails,2 days,,THAWED
50065,9,FROZEN_ITEM,"Sausages, precooked",1 week,,THAWED
50065,10,DELI_ITEM,Pate,1-2 months,,FROZEN
50065,11,DIARY,"Eggs, in shell",,Do not freeze,FROZEN
50065,12,SHELF_ITEM,"Soda such as carbonated cola drinks, mixers: diet sodas, bottles or cans",2-3 days,opened,REFRIGERATED
50065,13,SHELF_ITEM,"Peanut butter, commercial",6-9 months,unopened,SHELF
50066,1,SHELF_ITEM,"Sauce mixes, nondairy cream sauces, milk solids",1 year,unopened,SHELF
50066,2,VEGETABLES,"Carrots, parsnips",3 weeks,,REFRIGERATED
50066,3,SHELF_ITEM,Dry egg noodles,2 years,unopened,SHELF
50066,4,BAKING,Baking powder,3 months,opened,SHELF
50066,5,DELI_ITEM,"Salads, vegetable",3-5 days,,REFRIGERATED
50066,6,SOY,"Soy or rice beverage, shelf stable",3 months or use-by date,unopened,SHELF
50066,7,FRUIT,Avocados,,Do not freeze,FROZEN
50066,8,FRUIT,Avocados,Until ripe,,SHELF
50066,9,PESTO,Pesto or Sala,package date,unopened,REFRIGERATED
50066,10,BAKERY,Quiche,2 months,,FROZEN
50066,11,FRUIT,Apples,1-2 days,,SHELF
50066,12,SHELF_ITEM,"Tea, loose",6-12 months,opened,SHELF
50067,1,SHELF_ITEM,"Coffee, whole beans",3-4 months,,FROZEN
50067,2,FRUIT,"Berries, cherries",1-2 days,,REFRIGERATED
50067,3,BAKING,Baking powder,6 months,unopened,SHELF
50067,4,CONDIMENTS,"Mayonnaise, commercial",2-3 months,unopened,SHELF
50067,5,CONDIMENTS,"Mayonnaise, commercial",2-3 months,unopened,SHELF
50067,6,SHELF_ITEM,"Soup mixes, dry bouillon",12 months,unopened,SHELF
50067,7,VEGETABLES,"Herbs, fresh",1-2 months,,FROZEN
50067,8,FRUIT,Apples,1-2 days,,SHELF
50067,9,BAKERY,"Pies, pecan",1-2 months,,FROZEN
50067,10,DIARY,Sour cream,Do not freeze,,FROZEN
50067,11,SHELF_ITEM,"Coffee, non-vacuum bag ground, in cans",3-4 months,,FROZEN
50067,12,SHELF_ITEM,"Water, bottled",3 months,opened,SHELF
50067,13,SHELF_ITEM,"Jerky, commercially dried",2-3 months,opened,REFRIGERATED
50067,14,VEGETABLES,Bok choy,2-3days,,REFRIGERATED
50067,15,DIARY,"Cheese, hard (such as cheddar,  swiss, block parmesan)",6 months,,FROZEN
50068,1,DIARY,Kefir (fermented milk),1-2 days,opened,REFRIGERATED
50068,2,DIARY,Sour cream,7-21 days,,REFRIGERATED
50068,3,VEGETABLES,"Artichokes, whole",,Do not freeze,FROZEN
50068,4,SHELF_ITEM,"Toaster pastries, fruit filled",6 months,unopened,SHELF
50068,5,FRESH_POULTRY,"Chicken or turkey, parts",9 months,,FROZEN
50068,6,CONDIMENTS,"Olives, black and green",12-18 months,unopened,SHELF
50068,7,PASTA,"Pasta, fresh",2 months,,FROZEN
50068,8,CONDIMENTS,"Salsa, picante & taco sauces",1 month,opened,REFRIGERATED
50068,9,SHELF_ITEM,"Sugar, granulated",2 years,,SHELF
50068,10,FRUIT,Apples,1-2 days,,SHELF
50068,11,FISH,"Cooked fish, all",1-2 months,,FROZEN
50069,1,VEGETABLES,Celery,1-2 weeks,,REFRIGERATED
50069,2,SHELF_ITEM,"Sauce mixes, nondairy cream sauces, milk solids",1 year,unopened,SHELF
50069,3,SHELF_ITEM,"Gelatin, unflavored",3-4 months,opened,SHELF
50069,4,SHELF_ITEM,"Sauce mixes, nondairy cream sauces, milk solids",1 year,unopened,SHELF
50069,5,FROZEN_ITEM,Bagels,1-2 weeks,,THAWED
50069,6,SHELF_ITEM,"Shortening, solid",8 months,unopened,SHELF
50069,7,FRUIT,"Berries, cherries",1-2 days,,REFRIGERATED
50069,8,SHELF_ITEM,Spaghetti sauce in jars,4 days,opened,REFRIGERATED
50069,9,SHELF_ITEM,"Garlic, chopped",date on jar,opened,REFRIGERATED
50069,10,SHELF_ITEM,"Baby food, formula",Use-by date,unopened,SHELF
50069,11,SHELLFISH,"Cooked shellfish, all",3 months,,FROZEN
50069,12,SHELF_ITEM,"Jerky, homemade",1-2 months,opened,SHELF
50069,13,FROZEN_ITEM,"Shrimp, shellfish",1-2 days,,THAWED
50069,14,SHELF_ITEM,"Soda such as carbonated cola drinks, mixers: diet sodas, bottles or cans",3 mos. after date,unopened,SHELF
50069,15,BAKERY,"Bread, flat (tortillas, pita)",4-7 days,,REFRIGERATED
50069,16,PROCESSED_POULTRY,"Lunch meats, sealed in package",2 weeks,,REFRIGERATED
50070,1,FRESH_MEAT,"Variety meats (liver, tongue, chitterlings, etc.)",1-2 days,,REFRIGERATED
50070,2,BAKERY,"Cakes, chiffon, sponge",1-2 day,,SHELF
50070,3,BAKING,"Frosting, Frosting mixes",12 months,unopened,SHELF
50070,4,BAKERY,"Pastries, danish",1-2 days,,SHELF
50070,5,SHELF_ITEM,"Tea, bags",18 months,unopened,SHELF
50070,6,BAKERY,"Cakes, angel food",2 months,,FROZEN
50070,7,CONDIMENTS,"Mayonnaise, commercial",2-3 months,unopened,SHELF
50070,8,VEGETABLES,Brussels sprouts,10-12 months,,FROZEN
50070,9,FRESH_POULTRY,"Duckling or goose, whole",1-2 days,,REFRIGERATED
50070,10,VEGETABLES,Beets,1 day,,SHELF
50070,11,SHELF_ITEM,"Tea, bags",18 months,unopened,SHELF
50070,12,FISH,"Caviar, fresh, in jar",2 days,opened,REFRIGERATED
50070,13,BAKING,"Flour, whole wheat",6-8 months,opened,REFRIGERATED
50070,14,BAKING,Baking soda,6 months,opened,SHELF
50070,15,FRUIT,Citrus Fruit,1-2 weeks,,REFRIGERATED
50070,16,FRUIT,Apricots,Until ripe,,SHELF
50070,17,SHELF_ITEM,"Bacon Bits, Imitation",4 months,opened,SHELF
50071,1,BAKERY,"Cakes, pound cake",6 months,,FROZEN
50071,2,SHELF_ITEM,Worcestershire Sauce,1 year,opened,SHELF
50071,3,DELI_ITEM,"Fruit, cut",4 days,opened,REFRIGERATED
50071,4,FROZEN_ITEM,"Fish, breaded",3-6 months,,FROZEN
50071,5,SHELF_ITEM,"Coffee, whole beans",3-4 months,,FROZEN
50071,6,VEGETABLES,Leeks,1-2 weeks,,REFRIGERATED
50071,7,VEGETABLES,Mushrooms,2-3 days,,REFRIGERATED
50071,8,DOUGH,Ready-to-bake pie crust,2 months,,FROZEN
50071,9,FROZEN_ITEM,"Pancakes, Waffles",2 months,,FROZEN
50071,10,VEGETABLES,Leeks,10-12 months,,FROZEN
50071,11,SHELF_ITEM,"Yeast, dry, packets and jars",Use by date,unopened,SHELF
50072,1,BAKERY,"Cakes, chocolate",1-2 days,,SHELF
50072,2,SHELF_ITEM,"Rice, white or wild",2 years,unopened,SHELF
50072,3,PROCESSED_MEAT,"Sausage, raw, bulk type",1-2 days,,REFRIGERATED
50072,4,PASTA,"Pasta, fresh",2 months,,FROZEN
50072,5,FROZEN_ITEM,Vegetables,8 months,,FROZEN
50072,6,SHELF_ITEM,"Soup mixes, dry bouillon",12 months,unopened,SHELF
50072,7,SHELF_ITEM,"Jerky, commercially dried",12 months,unopened,SHELF
50072,8,SHELF_ITEM,"Tomatoes, sun dried, packed in cellophane",3-6 months,opened,SHELF
50072,9,SHELF_ITEM,"Sugar, granulated",2 years,,SHELF
50072,10,DIARY,"Aerosol can, real whipped cream",,Do not freeze,FROZEN
50072,11,SHELF_ITEM,"Coffee, instant, jars and tins",12 months,unopened,SHELF
50072,12,FRUIT,Coconuts,6 months,Shredded,FROZEN
50072,13,SHELF_ITEM,"Gelatin, unflavored",3 years,unopened,SHELF
50072,14,DELI_ITEM,"Fruit, cut",Package date,unopened,REFRIGERATED
50072,15,SHELF_ITEM,"Jams, jellies, preserves",12 months,unopened,SHELF
50072,16,FROZEN_ITEM,"Topping, whipped",6 months,,FROZEN
50073,1,PROCESSED_MEAT,"Hot dogs, after opening",1-2 months,,FROZEN
50073,2,FRESH_MEAT,"Beef, lamb, pork or veal chops, steaks,roasts",3-5 days,,REFRIGERATED
50073,3,VEGETABLES,Okra,2-3 days,,REFRIGERATED
50073,4,PROCESSED_POULTRY,Cooked poultry dishes,4-6 months,,FROZEN
50073,5,BAKING,"Cornmeal, stone ground or blue",2-3 months,opened,REFRIGERATED
50073,6,PROCESSED_POULTRY,Ground turkey or chicken,1-2 days,,REFRIGERATED
50073,7,DIARY,Kefir (fermented milk),1 week after date,unopened,REFRIGERATED
50073,8,SHELF_ITEM,"Cereal, ready-to-eat",3 months,opened,SHELF
50073,9,DIARY,Buttermilk,1-2 weeks,,REFRIGERATED
50073,10,DIARY,Margarine,12 months,,FROZEN
50073,11,DIARY,Buttermilk,1-2 weeks,,REFRIGERATED
50073,12,SHELF_ITEM,Commercially microwave packets,12 months,unopened,SHELF
50073,13,DIARY,Pudding,Package date,unopened,REFRIGERATED
50073,14,VEGETABLES,Cucumbers,,Do not freeze,FROZEN
50073,15,BAKERY,"Croissants, butter",1 week,,REFRIGERATED
50074,1,SHELLFISH,"Crab legs, king, dungeness, snow",5 days,,REFRIGERATED
50074,2,PROCESSED_MEAT,"Lunch meats, after opening",1-2 months,,FROZEN
50074,3,DIARY,"Shredded cheddar, mozzarella, etc.",1 month,,REFRIGERATED
50074,4,SHELF_ITEM,"Gravy, jars and cans",2-5 years,unopened,SHELF
50074,5,SHELF_ITEM,"Gravy, dry gravy mixes",,Mix entire packet,SHELF
50074,6,SHELF_ITEM,"Coffee, non-vacuum bag ground, in cans",2 years,unopened,SHELF
50074,7,SHELF_ITEM,"Milk, canned evaporated",12 months,unopened,SHELF
50074,8,SHELF_ITEM,"Gelatin, flavored",18 months,unopened,SHELF
50074,9,SHELF_ITEM,"Potatoes, instant",6-12 months,unopened,SHELF
50074,10,SHELF_ITEM,"Lentils, dried",12 months,unopened,SHELF
50074,11,BAKERY,"Pastries, danish",1 week,,REFRIGERATED
50074,12,VEGETABLES,"Onions, dry",2-3 weeks,,SHELF
50074,13,BAKERY,"Cakes, made from mix",1 week,,REFRIGERATED
50074,14,SHELF_ITEM,"Rice, brown",1 year,unopened,SHELF
50074,15,SHELF_ITEM,"Soda such as carbonated cola drinks, mixers: regular sodas, bottles",3 mos. after date,unopened,SHELF
50074,16,SHELF_ITEM,"Jerky, commercially dried",12 months,unopened,SHELF
50074,17,SHELF_ITEM,"Coffee, instant, jars and tins",3-4 months,,FROZEN
50074,18,DIARY,"Cream, half-and-half",4 months,,FROZEN
50075,1,VEGETABLES,"Artichokes, whole",1-2 weeks,,REFRIGERATED
50075,2,FRUIT,Citrus Fruit,10 days,,SHELF
50075,3,BAKERY,"Rolls, yeast, baked",2 months,,FROZEN
50075,4,COOKIES,"Cookies, packaged",2 months,unopened,SHELF
50075,5,SHELF_ITEM,"Gravy, jars and cans",2-5 years,unopened,SHELF
50075,6,SOY,Miso,3 months,,REFRIGERATED
50075,7,DIARY,"Cheese, processed slices",,Do not freeze,FROZEN
50075,8,SHELF_ITEM,"Soup mixes, dry bouillon",12 months,opened,SHELF
50075,9,BAKERY,Cheesecake,2-3 months,,FROZEN
50075,10,DIARY,"Cheese, processed slices",1-2 months,,REFRIGERATED
50075,11,SHELF_ITEM,"Soda such as carbonated cola drinks, mixers: regular sodas, cans",9 mos. after date,unopened,SHELF
50075,12,SOY,Miso,3 months,,REFRIGERATED
50075,13,BAKERY,"Bread, flat (tortillas, pita)",4 months,,FROZEN
50076,1,DIARY,"Eggnog, commercial",3-5 days,,REFRIGERATED
50076,2,DIARY,Kefir (fermented milk),1-2 days,opened,REFRIGERATED
50076,3,SHELF_ITEM,Commercially microwave packets,12 months,unopened,SHELF
50076,4,SHELF_ITEM,Worcestershire Sauce,1 year,unopened,SHELF
50076,5,FROZEN_ITEM,Egg substitutes,Date on Carton,,THAWED
50076,6,SHELF_ITEM,"Soda such as carbonated cola drinks, mixers: regular sodas, bottles",3 mos. after date,unopened,SHELF
50076,7,PROCESSED_MEAT,"Sausage, raw, bulk type",1-2 months,,FROZEN
50076,8,BAKERY,"Pies, pumpkin",1-2 months,,FROZEN
50076,9,PESTO,Pesto or Sala,3 days,opened,REFRIGERATED
50076,10,SHELF_ITEM,"Garlic, commercial jars",8 months,unopened,SHELF
50076,11,SHELF_ITEM,"Tomatoes, sun dried, packed in cellophane",9 months,unopened,SHELF
50076,12,DIARY,"Egg substitutes, liquid",,Do not freeze,FROZEN
50077,1,SHELF_ITEM,"Soda such as carbonated cola drinks, mixers: diet sodas, bottles or cans",3 mos. after date,unopened,SHELF
50077,2,DIARY,Sour cream,Do not freeze,,FROZEN
50077,3,BAKERY,"Rolls, filled, meat or vegetables",2 hours,,SHELF
